economy,Country,SP.POP.TOTL,NY.GDP.MKTP.PP.KD,Total Population (millions),GDP (billions $),Gold,Silver,Bronze,Total,GDP (bn) / Total_Medals,Year,Continent
PRI,Puerto Rico,3634488,1.22E+11,3.63,122.26,0,1,1,2,61.13,2012,North America
POL,Poland,38063164,9.69E+11,38.06,968.98,3,2,6,11,88.09,2012,Europe
PNG,Papua New Guinea,7631003,26352807408,7.63,26.35,0,0,0,0,,2012,Oceania
PLW,Palau,17635,296548046.2,0.02,0.3,0,0,0,0,,2012,Oceania
PHL,Philippines,97212639,6.17E+11,97.21,617.42,0,0,0,0,,2012,Asia
PER,Peru,29506790,3.30E+11,29.51,329.77,0,0,0,0,,2012,South America
PAN,Panama,3770635,95006105380,3.77,95.01,0,0,0,0,,2012,North America
PAK,Pakistan,187280125,7.46E+11,187.28,745.52,0,0,0,0,,2012,Asia
OMN,Oman,3498031,1.16E+11,3.5,115.67,0,0,0,0,,2012,Asia
NZL,New Zealand,4408100,1.71E+11,4.41,171.29,6,2,5,13,13.18,2012,Oceania
NRU,Nauru,10136,82009701.66,0.01,0.08,0,0,0,0,,2012,Oceania
NPL,Nepal,26989160,78879048236,26.99,78.88,0,0,0,0,,2012,Asia
NOR,Norway,5018573,3.11E+11,5.02,311.1,2,1,1,4,77.78,2012,Europe
NLD,Netherlands,16754962,8.69E+11,16.75,868.91,6,6,8,20,43.45,2012,Europe
NIC,Nicaragua,5982530,30410928972,5.98,30.41,0,0,0,0,,2012,North America
NGA,Nigeria,167228803,8.58E+11,167.23,858.11,0,0,0,0,,2012,Africa
NER,Niger,17795209,19303608548,17.8,19.3,0,0,0,0,,2012,Africa
NAM,Namibia,2194777,21128106808,2.19,21.13,0,0,0,0,,2012,Africa
MYS,Malaysia,29068189,6.43E+11,29.07,643.34,0,1,1,2,321.67,2012,Asia
MWI,Malawi,15396010,21351032620,15.4,21.35,0,0,0,0,,2012,Africa
MUS,Mauritius,1255882,22624703116,1.26,22.62,0,0,0,0,,2012,Africa
MRT,Mauritania,3706555,17764921545,3.71,17.76,0,0,0,0,,2012,Africa
MOZ,Mozambique,24862673,27849388139,24.86,27.85,0,0,0,0,,2012,Africa
MNG,Mongolia,2824698,26769453830,2.82,26.77,0,2,3,5,5.35,2012,Asia
MNE,Montenegro,620601,10427585126,0.62,10.43,0,1,0,1,10.43,2012,Europe
MMR,Myanmar,51413703,1.60E+11,51.41,160.05,0,0,0,0,,2012,Asia
MLT,Malta,420028,14251272787,0.42,14.25,0,0,0,0,,2012,Europe
MLI,Mali,15979492,32083734773,15.98,32.08,0,0,0,0,,2012,Africa
